job title,company name,location,skills,links
Python With Pandas.,Cegedim,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Pandas · Python · Software Engineering · Web Development · Numpy · SQL · Database · S3 · Git · Data,https://wuzzuf.net/jobs/p/Mz2c4SZcNbI0-Python-With-Pandas-Cegedim-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|navbl
Full Stack Python Developer,Div Systems,"Mokattam, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Angular · SQL · HTML5 · Web Development · CSS3 · Python · javaScript,https://wuzzuf.net/jobs/p/GelxQqszHihh-Full-Stack-Python-Developer-Div-Systems-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|navbl
Odoo Developer,Crevisoft Corporation,"Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Odoo · Python · HTML · PostgreSQL · XML · API · Information Technology (IT) · Computer Science · Linux · jQuery,https://wuzzuf.net/jobs/p/kZDSiZgPQLrN-Odoo-Developer-Crevisoft-Corporation-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|navbl
Senior Odoo Developer & Implementer,EZI Codes,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2 - 6 Yrs of Exp · Odoo · Odoo Modules · Python · Software Development · Information Technology (IT) · Computer Science · HTML · English · API · Git,https://wuzzuf.net/jobs/p/HAltqwwHqeyv-Senior-Odoo-Developer-Implementer-EZI-Codes-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|navbl
Senior Odoo Developer,Peerless,"Giza, Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Odoo · HTML · Python · PostgreSQL · javaScript · XML · API · Odoo Modules · jQuery · Programming,https://wuzzuf.net/jobs/p/RdsJ7Gedr7vi-Senior-Odoo-Developer-Peerless-Giza-Egypt?o=18&l=sp&t=sj&a=python|search-v3|navbl
Senior Odoo Developer,Confidential -,"Mohandessin, Giza, Egypt ",Full timeExperienced · 2 - 8 Yrs of Exp · Odoo · Software · Computer Science · Information Technology (IT) · Python · javaScript · Presentation Skills · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/ddnC0CbFDtJm-Senior-Odoo-Developer-Giza-Egypt?o=19&l=sp&t=sj&a=python|search-v3|navbl
Back-End Developer,Blnk Consumer Finance,"Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Python · Django · Telecom Engineering · Back-End Developer · Development · IT/Software Development,https://wuzzuf.net/jobs/p/iJqdu9gjo3cD-Back-End-Developer-Blnk-Consumer-Finance-Giza-Egypt?o=20&l=sp&t=sj&a=python|search-v3|navbl
Senior Software Engineer-Full Stack,WEmng,"Nasr City, Cairo, Egypt ",Full timeFreelance / ProjectWork from homeExperienced · 3 - 7 Yrs of Exp · Software Engineering · Software Development · Computer Science · Information Technology (IT) · javaScript · React · jQuery · English · AWS · Python,https://wuzzuf.net/jobs/p/9xNru5RifnCm-Senior-Software-Engineer-Full-Stack-WEmng-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|navbl
NLP Engineer,Master Linux,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Computer Science · Machine Learning · Pytorch · Python · NLP · Keras · Mathematics · Software · Analysis · Robust,https://wuzzuf.net/jobs/p/67v9IcnKyNAn-NLP-Engineer-Master-Linux-Cairo-Egypt?o=22&l=sp&t=sj&a=python|search-v3|navbl
Embedded Linux Software Engineer,Bee Digital 360,"Dokki, Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Linux · Software Development · Engineering · Development · Software · Application · Computer Science · Information Technology (IT) · Python · C++,https://wuzzuf.net/jobs/p/DPuKaconUXNo-Embedded-Linux-Software-Engineer-Bee-Digital-360-Giza-Egypt?o=23&l=sp&t=sj&a=python|search-v3|navbl
Computer Science Instructor Steam,iSchool,"New Cairo, Cairo, Egypt ",Full timeEntry Level · 0 - 3 Yrs of Exp · Computer Science · Instructor · Training · Teaching · Science · Computer · Information Technology (IT) · Programming · Python · Robotics,https://wuzzuf.net/jobs/p/Rk1gnObBqccA-Computer-Science-Instructor-Steam-iSchool-Cairo-Egypt?o=24&l=sp&t=sj&a=python|search-v3|navbl
Automation QA Specialist,Confidential -,"Cairo, Egypt ",Full timeWork from homeExperienced · 4 - 8 Yrs of Exp · QA · Testing · Automation · Quality Assurance · Selenium · Jira · Test · CI/CD · SQL · Mobile,https://wuzzuf.net/jobs/p/TMyC83ZnpIIM-Automation-QA-Specialist-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|navbl
Big Data Engineer - Jumia Food,Jumia,"Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Computer Science · Information Technology (IT) · Big Data · Computer Engineering · Java · Hadoop · Linux · C++ · Agile · Python,https://wuzzuf.net/jobs/p/VJiL96W9vv81-Big-Data-Engineer---Jumia-Food-Jumia-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|navbl
Robotics Instructor (Steam),iSchool,"New Cairo, Cairo, Egypt ",Full timeEntry Level · 0 - 2 Yrs of Exp · Teaching · Education · Lego · Stem · Mechanical · Robot · Robotics · Engineering · Electronics · Programming,https://wuzzuf.net/jobs/p/YHkM0RmVlOkE-Robotics-Instructor-Steam-iSchool-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|navbl
Senior DevOps Engineer,Trufla,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · Software Engineering · DevOps · Computer Science · Automation · Python · AWS · Information Technology (IT) · Docker · Azure · CI/CD,https://wuzzuf.net/jobs/p/F21wOCg40P51-Senior-DevOps-Engineer-Trufla-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|navbl
Sr. Data Visualization And Support Engineer,e-finance,"Smart Village, Giza, Egypt ",Full timeExperienced · 5 - 7 Yrs of Exp · Computer Science · Software Development · Software Engineering · javaScript · Python · Java · MySQL · Algorithms · C++ · Information Technology (IT),https://wuzzuf.net/jobs/p/xAKu0TiUNoVB-Sr-Data-Visualization-And-Support-Engineer-e-finance-Giza-Egypt?o=29&l=sp&t=sj&a=python|search-v3|navbl
